beneficiary,percent,preferUnstaked,lockedUntil
0x823b92d6a4b2AED4b15675c7917c9f922ea8ADAD,0.0304,false,0
0x63A2368F4B509438ca90186cb1C15156713D5834,0.0304,false,0
0xE16a238d207B9ac8B419C7A866b0De013c73357B,0.0304,false,0
0x28C173B8F20488eEF1b0f48Df8453A2f59C38337,0.0304,false,0
0xca6Ed3Fdc8162304d7f1fCFC9cA3A81632d5E5B0,0.0304,false,0
0x30670D81E487c80b9EDc54370e6EaF943B6EAB39,0.0304,false,0
0x6860f1A0cF179eD93ABd3739c7f6c8961A4EEa3c,0.0304,false,0
0xf0FE43a75Ff248FD2E75D33fa1ebde71c6d1abAd,0.0304,false,0
0x34724D71cE674FcD4d06e60Dd1BaA88c14D36b75,0.0304,false,0
0x5d95baEBB8412AD827287240A5c281E3bB30d27E,0.0304,false,0
0x111040F27f05E2017e32B9ac6d1e9593E4E19A2a,0.0304,false,0
0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,0.0304,false,0
0x1DD2091f250876Ba87B6fE17e6ca925e1B1c0CF0,0.0304,false,0
0xe7879a2D05dBA966Fcca34EE9C3F99eEe7eDEFd1,0.0304,false,0
0x90eda5165e5E1633E0Bdb6307cDecaE564b10ff7,0.0304,false,0
0x5706d5aD7A68bf8692bD341234bE44ca7Bf2f654,0.0304,false,0
0xb045708e396E20071324C1aed2E4CFB90A0764FE,0.0304,false,0
0xF8284136B169213E4c50cE09f3E1D9A9b484BAea,0.0304,false,0
0x25910143C255828F623786f46fe9A8941B7983bB,0.0304,false,0
0xC0b8eed3314B625d0c4eBC5432a5bd4f31370B4d,0.0304,false,0
0xA8488938161c9Afa127E93Fef6d3447051588664,0.0304,false,0
0x2DdA8dc2f67f1eB94b250CaEFAc9De16f70c5A51,0.0304,false,0
0x428f196c4D754A96642854AC5d9f29a0e6eC707E,0.0304,false,0
