beneficiary,percent,preferClaimed,lockedUntil,projectId,allocator
0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.866119427,false,0,55,0x0000000000000000000000000000000000000000
0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.133880573,false,0,13,0x0000000000000000000000000000000000000000
